"ID","name","group","Lx","Ly","Lz","m","V","ρ","source"
"0","BMW C 400 GT","V1","2.210","1.437","0.835","214","2.7","80.7","https://www.bikedekho.com/bmw/c-400-gt/specifications"
"1","2022 BMW K 1600 GTL","V1","2.489","1.491","1.091","358","4.0","88.4","https://motorcyclesspecs.com/bmw-k-1600-gtl/"
"2","Yamaha XV 1900","V1","2.580","1.515","1.055","344","4.1","83.4","https://www.motorcyclespecs.co.za/model/yamaha/yamaha_xv1900_midnight%2006.htm"
"3","Honda VTX1300","V1","2.575","1.125","0.960","305","2.8","109.7","https://bikeswiki.com/Honda_VTX1300"
"4","Honda CB 750","V1","1.455","1.120","0.890","218","1.5","150.3","https://en.wikipedia.org/wiki/Honda_CB750"
"5","Yamaha XMAX 125","V1","2.185","1.415","0.775","175","2.4","73.0","https://www.yamaha-motor.eu/baltic/en/products/scooters/sport/xmax-125/techspecs/"
"6","50cc Milan Scooter (Direct Bikes)","V1","1.620","1.040","0.630","155","1.1","146.0","https://www.scooter.co.uk/50cc-scooter-milan.html"
"7","Suzuki Burgman 125cc","V1","1.880","0.675","0.513","110","0.7","169.0","https://www.autox.com/new-bikes/suzuki/burgman-street-125/dimensions/"
"8","Electric Ride-Share Scooter","V1","2.000","1.400","0.700","55","2.0","28.1","https://www.loc.gov/item/global-legal-monitor/2019-06-25/germany-regulation-to-allow-use-of-e-scooters-on-public-roads-enacted/"
"9","Vespa Piaggio S","V1","1.770","1.140","0.690","105","1.4","75.4","https://www.bikedekho.com/vespa/piaggio-vespa-s/specifications"
"10","Bike","V1","1.793","1.135","0.500","19","1.0","18.7","*measured"
"11","Bike","V1","1.687","1.064","0.447","15","0.8","18.7","*measured"
"12","Xiaomi Mi Scooter Pro2","V1","1.180","1.130","0.215","14","0.3","49.5","https://www.mi.com/de/mi-electric-scooter-Pro2/specs/"
"13","Bike","V1","1.450","1.133","0.580","14","1.0","14.7","*measured"
"14","Giant Talo 1 Bike","V1","2.015","1.122","0.561","13","1.3","10.1","https://www.giant-bicycles.com/us/talon-1"
"15","Xiaomi Mi Scooter 1S","V1","1.140","1.080","0.215","12","0.3","47.2","https://www.mi.com/de/mi-electric-scooter-1S/specs/"
"16","Xiaomi Mi Scooter","V1","1.140","1.080","0.215","12","0.3","45.3","https://www.pccomponentes.com/xiaomi-mi-electric-scooter-essential-patinete-electrico-negro?gclid=CjwKCAjw4ayUBhA4EiwATWyBrhkdHKnM1bM9WbNMC8xC5EZISZna3FgkpuINOkESu3PXpFt9nColdBoCbPgQAvD_BwE"
"17","Trek Composite 2700","V1","1.710","0.900","0.280","10","0.4","23.2","* measured"
"18","Bike","V1","1.757","1.102","0.615","22","1.2","18.5","*measured"
"19","Fiat 500","V2","3.570","1.630","1.490","1073","8.7","123.8","https://www.dimensions.com/element/fiat-500"
"20","Ford Festiva 1992","V2","3.620","1.610","1.460","815","8.5","95.8","https://www.carsguide.com.au/ford/festiva/car-dimensions/1992"
"21","Renault Laguna Grandtour 2.2 D 1995","V2","4.620","1.752","1.448","1485","11.7","126.7","https://www.auto-data.net/en/renault-laguna-grandtour-2.2-d-83hp-10353 "
"22","Opel Vectra B CC 2.5i V6 1995","V2","4.495","1.707","1.425","1370","10.9","125.3","https://www.auto-data.net/en/opel-vectra-b-cc-2.5i-v6-170hp-automatic-27063 "
"23","Opel Astra K 1.5d 2019","V2","4.370","1.809","1.485","1320","11.7","112.4","https://www.auto-data.net/en/opel-astra-k-facelift-2019-1.5d-122hp-automatic-37663 "
"24","Toyota Yaris 2006","V2","4.300","1.690","1.460","1000","10.6","94.3","https://toyota.dreamhosters.com/pages/yaris_sedan/spec.php"
"25","BMW 3 Series Sedan 325iX 1987","V2","4.325","1.660","1.400","1280","10.1","127.3","https://www.auto-data.net/en/bmw-3-series-sedan-e30-facelift-1987-325ix-170hp-automatic-21188"
"26","Smart EQ Fortwo","V2","2.695","1.663","1.555","1095","7.0","157.1","https://www.evspecifications.com/en/model/9119d7"
"27","Volkswagen Golf 2019","V2","4.258","1.799","1.452","1261","11.1","113.4","https://www.carsguide.com.au/volkswagen/golf/car-dimensions/2019"
"28","Seat Ibiza V 1.6 TDI 2018","V2","4.059","1.780","1.444","1183","10.4","113.4","https://www.auto-data.net/en/seat-ibiza-v-1.6-tdi-115hp-start-stop-33871 "
"29","Volkswagen Tiguan II 2.0 TSI 2020","V2","4.509","1.839","1.684","1613","14.0","115.5","https://www.auto-data.net/en/volkswagen-tiguan-ii-facelift-2020-2.0-tsi-245hp-4motion-dsg-44395 "
"30","Seat Toledo IV (NH) 1.6 TDI 2015","V2","4.482","1.706","1.461","1280","11.2","114.6","https://www.auto-data.net/en/seat-toledo-iv-nh-1.6-tdi-115hp-24387 "
