"ID","year","country","V1","V2","V3","V4","V5","F1","F2","DP","DC","DW","DM","DO","source"
"0","1999","New Zealand","0","1","0","0","0","0","1","0","0","1","0","1","https://www.nzgeo.com/stories/la-ninas-deluges-2/"
"1","1999","United States of America","0","0","0","0","0","0","1","0","0","0","0","0","https://www.reviewjournal.com/local/local-las-vegas/looking-back-at-1999-las-vegas-flood-20-years-later-1701236/"
"2","1999","United States of America","0","0","0","0","0","0","1","0","0","0","0","0","https://lasvegassun.com/news/2009/jul/08/10-years-after-deadly-flood-county-better-prepared/"
"3","1999","Venezuela","0","1","0","0","0","0","0","0","1","0","0","1","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/resident-walks-past-a-car-stuck-in-the-middle-fotograf%C3%ADa-de-noticias/1244060389"
"4","1999","Venezuela","0","1","0","0","0","0","0","0","1","0","0","1","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/people-remove-mud-and-debris-after-heavy-rains-fotograf%C3%ADa-de-noticias/1229567824"
"5","1999","Venezuela","0","0","0","0","0","0","0","0","1","0","0","0","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/view-of-destroyed-buildings-in-the-coastal-fotograf%C3%ADa-de-noticias/94435362"
"6","1999","Venezuela","0","0","0","0","0","0","1","1","1","0","0","1","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/people-sit-outside-destroyed-houses-after-a-fotograf%C3%ADa-de-noticias/1243876442"
"7","1999","Venezuela","0","0","0","0","0","0","0","0","1","0","0","0","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/view-of-destroyed-houses-in-the-coastal-region-fotograf%C3%ADa-de-noticias/94435378"
"8","1999","Venezuela","0","0","1","0","0","0","1","0","0","1","0","1","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/view-of-a-destroyed-car-among-the-rubble-after-fotograf%C3%ADa-de-noticias/1243876244"
"9","1999","Venezuela","0","0","0","0","0","0","1","1","0","1","1","0","https://www.gettyimages.es/detail/fotograf%C3%ADa-de-noticias/rescuers-and-residents-search-through-the-fotograf%C3%ADa-de-noticias/1243853249"
